Island,Group,Atoll,Year,forage_avail,forage_access
Anglaise,Peros Banhos West,Peros Banhos,2022,43,84.97315830388366
Anglaise,Peros Banhos West,Peros Banhos,2023,51,88.65742738073533
Anglaise,Salomon Islands,Salomon Islands,2022,58,65.80208317276815
Anglaise,Salomon Islands,Salomon Islands,2023,62,70.24290829373604
Boddam,Salomon Islands,Salomon Islands,2022,57,67.13992374595988
Boddam,Salomon Islands,Salomon Islands,2023,63,71.42374298941556
Coin,Peros Banhos West,Peros Banhos,2022,45,83.97653172331155
Coin,Peros Banhos West,Peros Banhos,2023,51,85.60071147365112
Coin de Mire,Peros Banhos East,Peros Banhos,2022,46,77.34832607008713
Coin de Mire,Peros Banhos East,Peros Banhos,2023,51,84.20733929955948
Danger,Danger Island,Great Chagos Bank,2022,29,88.47255000168488
Danger,Danger Island,Great Chagos Bank,2023,48,86.43476936429632
Diable,Salomon Islands,Salomon Islands,2022,56,67.43259126045353
Diable,Salomon Islands,Salomon Islands,2023,61,71.13295617347985
Diamant,Peros Banhos West,Peros Banhos,2022,37,81.901986497333
Diamant,Peros Banhos West,Peros Banhos,2023,43,91.70404273645572
Diego Garcia,Diego Garcia,Diego Garcia,2022,35,85.86927361246363
Diego Garcia,Diego Garcia,Diego Garcia,2023,73,72.04831884215653
Eagle Island,Eagle Islands,Great Chagos Bank,2022,32,98.68695890249474
Eagle Island,Eagle Islands,Great Chagos Bank,2023,51,86.36603365228791
East Island,Diego Garcia,Diego Garcia,2022,31,88.3131005211177
East Island,Diego Garcia,Diego Garcia,2023,62,83.52767377316239
Finon,Peros Banhos West,Peros Banhos,2022,40,88.60223919113116
Finon,Peros Banhos West,Peros Banhos,2023,44,89.63942932032207
Fouquet,Peros Banhos West,Peros Banhos,2022,48,78.94442784811791
Fouquet,Peros Banhos West,Peros Banhos,2023,52,85.20395735296003
Fouquet,Salomon Islands,Salomon Islands,2022,59,63.9659538347964
Fouquet,Salomon Islands,Salomon Islands,2023,66,72.55479633702102
Grand Bois Mangue,Peros Banhos East,Peros Banhos,2022,44,79.05820353589071
Grand Bois Mangue,Peros Banhos East,Peros Banhos,2023,46,84.26015349109208
Grand Coquillage,Peros Banhos East,Peros Banhos,2022,47,75.63343422949502
Grand Coquillage,Peros Banhos East,Peros Banhos,2023,49,82.0729566523625
Grand Souer,Peros Banhos West,Peros Banhos,2022,41,86.90710614842322
Grand Souer,Peros Banhos West,Peros Banhos,2023,47,87.37370316572658
Grande Mapou,Peros Banhos West,Peros Banhos,2022,38,81.16772988243353
Grande Mapou,Peros Banhos West,Peros Banhos,2023,43,93.26080359083461
Jacobin,Salomon Islands,Salomon Islands,2022,58,65.61641029714652
Jacobin,Salomon Islands,Salomon Islands,2023,66,72.19905829065122
Longue,Peros Banhos East,Peros Banhos,2022,44,80.2465960378176
Longue,Peros Banhos East,Peros Banhos,2023,45,85.47006775825486
Lubine complex,Egmont Islands,Egmont Islands,2022,33,62.765134346660226
Lubine complex,Egmont Islands,Egmont Islands,2023,50,74.98712944664972
Manoel,Peros Banhos East,Peros Banhos,2022,45,80.89749741905675
Manoel,Peros Banhos East,Peros Banhos,2023,47,84.0946064259058
Manon,Peros Banhos West,Peros Banhos,2022,39,90.2045728777455
Manon,Peros Banhos West,Peros Banhos,2023,43,91.48247748576873
Mapou,Salomon Islands,Salomon Islands,2022,57,65.39522642514181
Mapou,Salomon Islands,Salomon Islands,2023,64,74.38277062875284
Mapou de Coin,Peros Banhos West,Peros Banhos,2022,47,80.19514135460699
Mapou de Coin,Peros Banhos West,Peros Banhos,2023,51,84.40707346435107
Middle Brother,Brothers,Great Chagos Bank,2022,42,86.11860691975363
Middle Brother,Brothers,Great Chagos Bank,2023,57,74.50108042815414
Middle Island,Diego Garcia,Diego Garcia,2022,31,88.31321143517584
Middle Island,Diego Garcia,Diego Garcia,2023,62,85.0827224871396
Monpatre complex,Peros Banhos West,Peros Banhos,2022,43,86.33218421616898
Monpatre complex,Peros Banhos West,Peros Banhos,2023,50,86.33218421616898
Moresby,Peros Banhos West,Peros Banhos,2022,41,85.80827572454166
Moresby,Peros Banhos West,Peros Banhos,2023,45,89.78743948442296
Nelson's Island,Nelson's Island,Great Chagos Bank,2022,65,69.13588808055464
Nelson's Island,Nelson's Island,Great Chagos Bank,2023,65,67.8735335955901
North Brother,Brothers,Great Chagos Bank,2022,43,87.94561694002373
North Brother,Brothers,Great Chagos Bank,2023,57,75.97037768002001
Parasol,Peros Banhos East,Peros Banhos,2022,43,83.68160016160313
Parasol,Peros Banhos East,Peros Banhos,2023,45,87.2543010203442
Passe,Peros Banhos West,Peros Banhos,2022,41,86.70812656110733
Passe,Peros Banhos West,Peros Banhos,2023,45,89.28487254231032
Passe,Salomon Islands,Salomon Islands,2022,57,65.58814900388889
Passe,Salomon Islands,Salomon Islands,2023,62,73.64875937937828
Petit Souer,Peros Banhos West,Peros Banhos,2022,41,86.90710614842322
Petit Souer,Peros Banhos West,Peros Banhos,2023,47,87.37370316572658
Petite Bois Mangue,Peros Banhos East,Peros Banhos,2022,44,77.97807648768071
Petite Bois Mangue,Peros Banhos East,Peros Banhos,2023,46,84.06754250640343
Petite Coquillage,Peros Banhos East,Peros Banhos,2022,47,77.24717695521022
Petite Coquillage,Peros Banhos East,Peros Banhos,2023,49,80.489117363428
Petite Mapou,Peros Banhos West,Peros Banhos,2022,38,82.13340747327649
Petite Mapou,Peros Banhos West,Peros Banhos,2023,43,93.51881050531182
Pierre,Peros Banhos West,Peros Banhos,2022,40,82.82808948162567
Pierre,Peros Banhos West,Peros Banhos,2023,43,91.95436324069031
Poule,Peros Banhos West,Peros Banhos,2022,42,86.81747628847289
Poule,Peros Banhos West,Peros Banhos,2023,49,87.3551633163573
Poule,Salomon Islands,Salomon Islands,2022,56,66.84641561553973
Poule,Salomon Islands,Salomon Islands,2023,63,71.64236070225539
Resurgent,Brothers,Great Chagos Bank,2022,42,84.64112330817832
Resurgent,Brothers,Great Chagos Bank,2023,58,73.1862438508371
Saint Brandon,Peros Banhos East,Peros Banhos,2022,41,84.92771717581611
Saint Brandon,Peros Banhos East,Peros Banhos,2023,45,88.62970861634587
Sea Cow,Eagle Islands,Great Chagos Bank,2022,30,95.77814452399544
Sea Cow,Eagle Islands,Great Chagos Bank,2023,51,92.74045603870523
Sel,Salomon Islands,Salomon Islands,2022,56,66.29992727243608
Sel,Salomon Islands,Salomon Islands,2023,64,71.79044620223715
Sepulture,Salomon Islands,Salomon Islands,2022,58,65.47803787433014
Sepulture,Salomon Islands,Salomon Islands,2023,66,72.2510707441477
South Brother,Brothers,Great Chagos Bank,2022,43,82.78896024683492
South Brother,Brothers,Great Chagos Bank,2023,58,71.55705756619902
Sudest complex,Egmont Islands,Egmont Islands,2022,35,63.01966216811816
Sudest complex,Egmont Islands,Egmont Islands,2023,52,72.74864371633738
Takamaka,Salomon Islands,Salomon Islands,2022,58,64.28949997991589
Takamaka,Salomon Islands,Salomon Islands,2023,66,73.57417193113386
Unnamed (Burtle),Peros Banhos West,Peros Banhos,2022,39,89.18421618293773
Unnamed (Burtle),Peros Banhos West,Peros Banhos,2023,43,90.31321727859273
Unnamed (Marlin),Peros Banhos East,Peros Banhos,2022,45,78.46964271341814
Unnamed (Marlin),Peros Banhos East,Peros Banhos,2023,47,84.9201999591144
Vache Marine,Peros Banhos East,Peros Banhos,2022,47,80.92080662885472
Vache Marine,Peros Banhos East,Peros Banhos,2023,50,82.22932670327107
Verte,Peros Banhos West,Peros Banhos,2022,40,88.80530498580833
Verte,Peros Banhos West,Peros Banhos,2023,44,89.8819207351668
West Island,Diego Garcia,Diego Garcia,2022,29,89.09671419083608
West Island,Diego Garcia,Diego Garcia,2023,62,87.18184134831175
Yeye,Peros Banhos East,Peros Banhos,2022,45,74.54582858464077
Yeye,Peros Banhos East,Peros Banhos,2023,47,84.43918475957146
